#RV data for 51 Peg downloaded from 
#http://vizier.u-strasbg.fr/viz-bin/VizieR-3?-source=J/AJ/153/138/table1&-out.max=50&-out.form=HTML%20Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa
#The RV measurements were converted from m/s to km/s
#Original vizier information is given at the end of the file
#
#---------------- --------------- ----------- ------
#BJD (d)          RV (km/s)        e_RV (km/s)  Spectrograph  
#---------------- --------------- ----------- ------
2449610.53276 -33.258 0.009 ELODIE
2449612.47166 -33.225 0.009 ELODIE
2449655.31126 -33.272 0.007 ELODIE
2449728.22736 -33.31 0.007 ELODIE
2449729.22498 -33.248 0.007 ELODIE
2449730.235 -33.196 0.008 ELODIE
2449739.2658 -33.221 0.008 ELODIE
2449750.24596 -33.249 0.008 ELODIE
2449751.2439 -33.233 0.009 ELODIE
2449753.24468 -33.313 0.008 ELODIE
2449755.24997 -33.187 0.007 ELODIE
2449765.25768 -33.283 0.008 ELODIE
2449766.25624 -33.314 0.008 ELODIE
2449766.26504 -33.318 0.008 ELODIE
2449767.2554 -33.233 0.008 ELODIE
2449903.54237 -33.185 0.008 ELODIE
2449903.55117 -33.19 0.007 ELODIE
2449904.57465 -33.227 0.007 ELODIE
2449906.60002 -33.256 0.007 ELODIE
2449906.60622 -33.258 0.007 ELODIE
2449907.5587 -33.167 0.007 ELODIE
2449908.59038 -33.213 0.007 ELODIE
2449909.57326 -33.299 0.007 ELODIE
2449910.59014 -33.27 0.009 ELODIE
2449910.60134 -33.266 0.007 ELODIE
2449969.3841 -33.294 0.007 ELODIE
2449969.5882 -33.29 0.007 ELODIE
2449970.43401 -33.215 0.007 ELODIE
2449970.62811 -33.209 0.007 ELODIE
2449971.44122 -33.189 0.007 ELODIE
2449971.61902 -33.212 0.008 ELODIE
2449972.35133 -33.262 0.007 ELODIE
2449972.35803 -33.269 0.007 ELODIE
2449974.39894 -33.245 0.008 ELODIE
2449975.42964 -33.2 0.007 ELODIE
2449976.44254 -33.25 0.007 ELODIE
2449976.59814 -33.276 0.007 ELODIE
