#---------------- --------     ------
#BJD - 2450000(d)  Flux        e_flux    
#---------------- --------     ------
 8325.29698330   0.99919324  0.00021488 
 8325.29837220   0.99935260  0.00021488 
 8325.29976100   0.99939747  0.00021488 
 8325.30114990   0.99949504  0.00021488 
 8325.30253880   0.99994293  0.00021488 
 8325.30392760   1.00010110  0.00021488 
 8325.30531650   0.99998477  0.00021488 
 8325.30670540   0.99997195  0.00021488 
 8325.30809420   1.00023194  0.00021488 
 8325.30948310   1.00025452  0.00021488 
 8325.31087200   1.00013370  0.00021488 
 8325.31226080   1.00008558  0.00021488 
 8325.31364970   0.99989967  0.00021488 
 8325.31503860   1.00011616  0.00021488 
 8325.31642750   1.00017186  0.00021488 
 8325.31781630   1.00005115  0.00021488 
 8325.31920520   0.99979634  0.00021488 
 8325.32059410   1.00029776  0.00021488 
 8325.32198290   1.00007385  0.00021488 
 8325.32337180   1.00009176  0.00021488 
 8325.32476070   1.00010357  0.00021488 
 8325.32614950   1.00026218  0.00021488 
 8325.32753840   1.00035459  0.00021488 
 8325.32892730   1.00000530  0.00021488 
 8325.33031620   1.00036423  0.00021488 
 8325.33170500   1.00025274  0.00021488 
 8325.33309390   1.00009646  0.00021488 
 8325.33448280   1.00000738  0.00021488 
 8325.33587160   0.99998041  0.00021488 
 8325.33726050   1.00006444  0.00021488 
 8325.33864940   0.99987927  0.00021488 
 8325.34003820   1.00018211  0.00021488 
 8325.34142710   0.99989394  0.00021488 
 8325.34281600   1.00043729  0.00021488 
 8325.34420490   1.00015982  0.00021488 
 8325.34559370   0.99981636  0.00021488 
 8325.34698260   0.99994141  0.00021488 
 8325.34837150   0.99975155  0.00021488 
 8325.34976030   0.99989760  0.00021488 
 8325.35114920   1.00003856  0.00021488 
 8325.35253810   0.99967271  0.00021488 
 8325.35392690   1.00031998  0.00021488 
 8325.35531580   1.00000763  0.00021488 
 8325.35670470   0.99991389  0.00021488 
 8325.35809360   1.00027256  0.00021488 
 8325.35948240   1.00006703  0.00021488 
 8325.36087130   0.99991959  0.00021488 
 8325.36226020   1.00010387  0.00021488 
 8325.36364900   1.00026935  0.00021488 
 8325.36503790   1.00003772  0.00021488 
 8325.36642680   1.00006650  0.00021488 
