# data_3mdgp.dat 
# Number of simulated observations = 50 
# Kernel used : QPK, with parameters: [20, 0.3, 5] 
# Random number seed = 13 
# Time   Value   Value_error  time_series_label 
1.1173756e+01  -8.5186926e-02  1.0000000e-03  rvs
1.8559184e+01  1.6705799e-03  1.0000000e-03  rvs
4.1941363e+01  6.9369726e-02  1.0000000e-03  rvs
4.4048565e+00  -4.7693068e-02  1.0000000e-03  rvs
1.8916384e+00  -4.2379703e-03  1.0000000e-03  rvs
2.9248058e+01  7.2721965e-02  1.0000000e-03  rvs
4.7579481e+01  8.3893065e-02  1.0000000e-03  rvs
1.7974769e+01  4.6085844e-02  1.0000000e-03  rvs
3.1601445e+00  1.0864250e-01  1.0000000e-03  rvs
2.3853233e+01  -3.9667175e-02  1.0000000e-03  rvs
2.6615635e+01  1.2797611e-01  1.0000000e-03  rvs
7.7871928e+00  1.3095059e-02  1.0000000e-03  rvs
1.4138206e+00  -1.1132358e-03  1.0000000e-03  rvs
4.3892030e+01  -1.5357521e-01  1.0000000e-03  rvs
2.9385239e+01  1.0589742e-01  1.0000000e-03  rvs
3.1242198e+01  -1.7116781e-01  1.0000000e-03  rvs
3.0407730e+00  7.9010724e-02  1.0000000e-03  rvs
3.1406092e+01  -4.3410174e-02  1.0000000e-03  rvs
3.0458243e+01  8.3867033e-03  1.0000000e-03  rvs
4.3834748e+01  -1.8657218e-01  1.0000000e-03  rvs
1.1480084e+01  3.4315787e-02  1.0000000e-03  rvs
7.4698862e+00  -4.0687973e-02  1.0000000e-03  rvs
9.8261522e+00  -4.7470247e-02  1.0000000e-03  rvs
1.6087501e+01  -1.4061157e-01  1.0000000e-03  rvs
2.5907069e+00  -7.2402887e-02  1.0000000e-03  rvs
1.8723668e+01  1.3425228e-02  1.0000000e-03  rvs
4.7900664e+01  1.3684091e-01  1.0000000e-03  rvs
3.7795346e+01  1.6039712e-01  1.0000000e-03  rvs
2.7221092e+00  -3.6141551e-02  1.0000000e-03  rvs
